epoch,train_loss,train_obj_loss,train_cls_loss,train_off_loss,val_precision,val_recall,val_f1,val_class_acc_fg,val_offset_l1_fg,val_tp,val_fp,val_fn,val_tn,val_class_correct,val_class_total
1,1.8329775176870517,0.6539469208376033,0.9521821360405458,0.22684844957220038,0.7528263103802673,0.8102876106194691,0.7805007991475759,0.4883849557522124,0.18131419241560243,1465,481,343,5268,883,1808
2,0.8841264382990233,0.42802497131952827,0.42145969953670664,0.034641778930635234,0.7611867704280155,0.8655973451327433,0.8100414078674947,0.6731194690265486,0.2034687067884787,1565,491,243,5258,1217,1808
3,0.6458102010659379,0.33972623626740267,0.28718982963217815,0.01889412706289975,0.7585096596136155,0.9120575221238938,0.8282270215971874,0.7146017699115044,0.11773194280345883,1649,525,159,5224,1292,1808
4,0.5145018277830627,0.28318522832743015,0.21659933567935602,0.014717261474327102,0.8401237751418257,0.900995575221239,0.8694955964771818,0.7903761061946902,0.08154729488346957,1629,310,179,5439,1429,1808
5,0.4359268698630743,0.24591111297235743,0.17941953492360121,0.010596225566966157,0.8214285714285714,0.9286504424778761,0.8717549325025961,0.7793141592920354,0.06684240586726012,1679,365,129,5384,1409,1808
6,0.37716983876367777,0.21680815678634954,0.15256175013852988,0.007799925657194042,0.8507386653082017,0.9236725663716814,0.8857067090957306,0.8152654867256637,0.06156333225194068,1670,293,138,5456,1474,1808
7,0.33400060849220464,0.19258837338040388,0.1351243903082299,0.006287842861854904,0.854230377166157,0.9269911504424779,0.8891246684350134,0.8163716814159292,0.05931650266974373,1676,286,132,5463,1476,1808
8,0.29734549686758505,0.17142640965132225,0.12048421623049765,0.005434874121577879,0.8813916710595677,0.9247787610619469,0.9025641025641026,0.831858407079646,0.05707771762117612,1672,225,136,5524,1504,1808
9,0.2697301770540332,0.15527273320291665,0.10966219366012386,0.004795250659900956,0.8841111693759832,0.9325221238938053,0.907671601615074,0.8346238938053098,0.0541753720871247,1686,221,122,5528,1509,1808
10,0.24561125821982271,0.14063671501313293,0.10070001640891803,0.0042745264559267745,0.8911671924290221,0.9375,0.9137466307277629,0.853429203539823,0.05196838299290533,1695,207,113,5542,1543,1808
11,0.22769592336022387,0.12989593989289114,0.09386022629238777,0.003939755264854006,0.8883089770354906,0.9413716814159292,0.9140708915145006,0.8528761061946902,0.05031986479375478,1702,214,106,5535,1542,1808
12,0.2114981150138577,0.12044309507507436,0.08740953008241954,0.003645491242264825,0.8947646747752512,0.9358407079646017,0.9148418491484185,0.8622787610619469,0.04822026079405198,1692,199,116,5550,1559,1808
13,0.19196944538351607,0.1078532599035969,0.08083764166954577,0.0032785382978642,0.9069020866773676,0.9375,0.9219472395974979,0.8550884955752213,0.05397538386647944,1695,174,113,5575,1546,1808
14,0.18535069663688158,0.1044896887092823,0.07766253599726262,0.003198474260738753,0.9087493290391842,0.9363938053097345,0.9223644783437756,0.8639380530973452,0.05626113408665478,1693,170,115,5579,1562,1808
15,0.16934290775916777,0.09475618935590017,0.07156160713888682,0.003025110702883623,0.937888198757764,0.9186946902654868,0.9281922324671696,0.831858407079646,0.04575575758760746,1661,110,147,5639,1504,1808
